#timebase=1136082944(ps)
,#voltbase=5000000(uV)
#size=4064
1.03600E+00,0.200
1.04000E+00,-0.200
1.04400E+00,-0.200
1.04800E+00,0.000
1.05200E+00,0.000
1.05600E+00,0.000
1.06000E+00,0.000
1.06400E+00,0.200
1.06800E+00,0.000
1.07200E+00,-0.200
1.07600E+00,0.000
1.08000E+00,0.200
1.08400E+00,-0.200
1.08800E+00,-0.200
1.09200E+00,0.000
1.09600E+00,0.200
1.10000E+00,0.000
1.10400E+00,0.000
1.10800E+00,0.200
1.11200E+00,-0.200
1.11600E+00,-0.200
1.12000E+00,0.000
1.12400E+00,0.200
1.12800E+00,0.200
1.13200E+00,0.200
1.13600E+00,-0.200
1.14000E+00,0.000
1.14400E+00,0.000
1.14800E+00,0.000
1.15200E+00,0.200
1.15600E+00,-0.200
1.16000E+00,-0.200
1.16400E+00,0.000
1.16800E+00,0.200
1.17200E+00,-0.200
1.17600E+00,-0.200
1.18000E+00,0.000
1.18400E+00,0.200
1.18800E+00,0.200
1.19200E+00,-0.200
1.19600E+00,-0.200
1.20000E+00,0.000
1.20400E+00,-0.200
1.20800E+00,0.000
1.21200E+00,0.200
1.21600E+00,0.200
1.22000E+00,0.200
1.22400E+00,0.200
1.22800E+00,0.200
1.23200E+00,-0.200
1.23600E+00,0.000
1.24000E+00,0.000
1.24400E+00,0.000
1.24800E+00,0.000
1.25200E+00,0.000
1.25600E+00,-0.200
1.26000E+00,0.000
1.26400E+00,0.000
1.26800E+00,0.000
1.27200E+00,0.000
1.27600E+00,0.000
1.28000E+00,0.000
1.28400E+00,-0.200
1.28800E+00,-0.200
1.29200E+00,0.000
1.29600E+00,-0.200
1.30000E+00,0.000
1.30400E+00,-0.200
1.30800E+00,0.000
1.31200E+00,0.000
1.31600E+00,0.000
1.32000E+00,0.000
1.32400E+00,0.000
1.32800E+00,0.000
1.33200E+00,-0.200
1.33600E+00,0.000
1.34000E+00,0.200
1.34400E+00,0.200
1.34800E+00,0.200
1.35200E+00,0.200
1.35600E+00,-0.200
1.36000E+00,0.000
1.36400E+00,0.000
1.36800E+00,0.000
1.37200E+00,0.000
1.37600E+00,0.200
1.38000E+00,0.000
1.38400E+00,0.000
1.38800E+00,0.000
1.39200E+00,0.000
1.39600E+00,0.000
1.40000E+00,-0.200
1.40400E+00,0.000
1.40800E+00,0.000
1.41200E+00,0.000
1.41600E+00,0.000
1.42000E+00,0.000
1.42400E+00,0.000
1.42800E+00,0.200
1.43200E+00,0.200
1.43600E+00,0.200
1.44000E+00,0.200
1.44400E+00,-0.200
1.44800E+00,-0.200
1.45200E+00,0.000
1.45600E+00,-0.200
1.46000E+00,0.000
1.46400E+00,0.000
1.46800E+00,0.000
1.47200E+00,0.000
1.47600E+00,-0.200
1.48000E+00,0.000
1.48400E+00,-0.200
1.48800E+00,-0.200
1.49200E+00,0.000
1.49600E+00,-0.200
1.50000E+00,0.000
1.50400E+00,-0.200
1.50800E+00,0.000
1.51200E+00,-0.200
1.51600E+00,-0.200
1.52000E+00,0.000
1.52400E+00,0.000
1.52800E+00,0.000
1.53200E+00,0.000
1.53600E+00,-0.200
1.54000E+00,0.000
1.54400E+00,-0.200
1.54800E+00,0.000
1.55200E+00,0.000
1.55600E+00,0.000
1.56000E+00,-0.200
1.56400E+00,-0.200
1.56800E+00,0.000
1.57200E+00,-0.200
1.57600E+00,0.000
1.58000E+00,-0.200
1.58400E+00,0.000
1.58800E+00,-0.200
1.59200E+00,0.000
1.59600E+00,-0.200
1.60000E+00,0.000
1.60400E+00,0.000
1.60800E+00,0.000
1.61200E+00,0.000
1.61600E+00,0.200
1.62000E+00,-0.200
1.62400E+00,0.000
1.62800E+00,0.000
1.63200E+00,0.000
1.63600E+00,0.000
1.64000E+00,0.000
1.64400E+00,0.200
1.64800E+00,0.200
1.65200E+00,-0.200
1.65600E+00,0.000
1.66000E+00,0.000
1.66400E+00,0.000
1.66800E+00,0.000
1.67200E+00,0.000
1.67600E+00,0.000
1.68000E+00,0.000
1.68400E+00,-0.200
1.68800E+00,0.000
1.69200E+00,-0.200
1.69600E+00,0.000
1.70000E+00,-0.200
1.70400E+00,0.000
1.70800E+00,-0.200
1.71200E+00,0.000
1.71600E+00,-0.200
1.72000E+00,0.000
1.72400E+00,0.000
1.72800E+00,0.000
1.73200E+00,0.000
1.73600E+00,0.000
1.74000E+00,0.000
1.74400E+00,0.000
1.74800E+00,0.000
1.75200E+00,0.000
1.75600E+00,0.000
1.76000E+00,0.000
1.76400E+00,-0.200
1.76800E+00,-0.200
1.77200E+00,0.000
1.77600E+00,-0.200
1.78000E+00,0.000
1.78400E+00,0.000
1.78800E+00,0.000
1.79200E+00,0.000
1.79600E+00,-0.200
1.80000E+00,0.000
1.80400E+00,0.200
1.80800E+00,0.200
1.81200E+00,0.200
1.81600E+00,0.200
1.82000E+00,0.200
1.82400E+00,-0.200
1.82800E+00,-0.200
1.83200E+00,0.000
1.83600E+00,-0.200
1.84000E+00,-0.200
1.84400E+00,0.000
1.84800E+00,0.000
1.85200E+00,0.000
1.85600E+00,0.000
1.86000E+00,0.000
1.86400E+00,0.000
1.86800E+00,0.000
1.87200E+00,0.000
1.87600E+00,-0.200
1.88000E+00,0.000
1.88400E+00,0.000
1.88800E+00,0.000
1.89200E+00,0.000
1.89600E+00,0.000
1.90000E+00,0.000
1.90400E+00,0.000
1.90800E+00,0.200
1.91200E+00,-0.200
1.91600E+00,0.000
1.92000E+00,0.000
1.92400E+00,0.000
1.92800E+00,0.200
1.93200E+00,0.200
1.93600E+00,-0.200
1.94000E+00,0.000
1.94400E+00,0.200
1.94800E+00,0.000
1.95200E+00,0.000
1.95600E+00,-0.200
1.96000E+00,0.000
1.96400E+00,0.000
1.96800E+00,0.000
1.97200E+00,-0.200
1.97600E+00,0.000
1.98000E+00,-0.200
1.98400E+00,-0.200
1.98800E+00,0.000
1.99200E+00,0.000
1.99600E+00,0.000
2.00000E+00,0.000
2.00400E+00,0.000
2.00800E+00,0.000
2.01200E+00,0.000
2.01600E+00,0.000
2.02000E+00,-0.200
2.02400E+00,-0.200
2.02800E+00,0.000
2.03200E+00,-0.200
2.03600E+00,0.000
2.04000E+00,0.000
2.04400E+00,0.000
2.04800E+00,0.000
2.05200E+00,0.200
2.05600E+00,-0.200
2.06000E+00,-0.200
2.06400E+00,0.000
2.06800E+00,-0.200
2.07200E+00,0.000
2.07600E+00,0.200
2.08000E+00,-0.200
2.08400E+00,-0.200
2.08800E+00,0.000
2.09200E+00,0.200
2.09600E+00,0.200
2.10000E+00,-0.200
2.10400E+00,-0.200
2.10800E+00,0.000
2.11200E+00,-0.200
2.11600E+00,0.000
2.12000E+00,-0.200
2.12400E+00,-0.200
2.12800E+00,0.000
2.13200E+00,0.200
2.13600E+00,0.200
2.14000E+00,-0.200
2.14400E+00,0.000
2.14800E+00,1.200
2.15200E+00,2.200
2.15600E+00,3.200
2.16000E+00,4.000
2.16400E+00,4.600
2.16800E+00,5.200
2.17200E+00,6.000
2.17600E+00,6.200
2.18000E+00,6.600
2.18400E+00,7.000
2.18800E+00,7.400
2.19200E+00,7.600
2.19600E+00,7.800
2.20000E+00,8.000
2.20400E+00,8.000
2.20800E+00,8.400
2.21200E+00,8.600
2.21600E+00,8.400
2.22000E+00,8.800
2.22400E+00,8.800
2.22800E+00,9.000
2.23200E+00,9.000
2.23600E+00,9.000
2.24000E+00,9.200
2.24400E+00,9.200
2.24800E+00,9.200
2.25200E+00,9.400
2.25600E+00,9.400
2.26000E+00,9.400
2.26400E+00,9.200
2.26800E+00,9.400
2.27200E+00,9.400
2.27600E+00,9.600
2.28000E+00,9.400
2.28400E+00,9.600
2.28800E+00,9.600
2.29200E+00,9.600
2.29600E+00,9.600
2.30000E+00,9.600
2.30400E+00,10.000
2.30800E+00,9.800
2.31200E+00,10.000
2.31600E+00,9.600
2.32000E+00,9.800
2.32400E+00,9.800
2.32800E+00,9.800
2.33200E+00,10.200
2.33600E+00,10.000
2.34000E+00,9.800
2.34400E+00,9.800
2.34800E+00,10.000
2.35200E+00,10.200
2.35600E+00,10.000
2.36000E+00,9.800
2.36400E+00,10.000
2.36800E+00,10.000
2.37200E+00,10.200
2.37600E+00,10.200
2.38000E+00,10.000
2.38400E+00,10.000
2.38800E+00,9.800
2.39200E+00,10.200
2.39600E+00,10.400
2.40000E+00,10.200
2.40400E+00,10.400
2.40800E+00,10.400
2.41200E+00,10.200
2.41600E+00,10.400
2.42000E+00,10.200
2.42400E+00,10.400
2.42800E+00,10.200
2.43200E+00,10.400
2.43600E+00,10.400
2.44000E+00,10.200
2.44400E+00,10.400
2.44800E+00,10.200
2.45200E+00,10.400
2.45600E+00,10.200
2.46000E+00,10.200
2.46400E+00,10.000
2.46800E+00,10.200
2.47200E+00,10.400
2.47600E+00,10.200
2.48000E+00,10.000
2.48400E+00,10.200
2.48800E+00,10.200
2.49200E+00,10.000
2.49600E+00,10.200
2.50000E+00,10.200
2.50400E+00,10.400
2.50800E+00,10.200
2.51200E+00,10.200
2.51600E+00,10.000
2.52000E+00,10.200
2.52400E+00,10.200
2.52800E+00,10.400
2.53200E+00,10.600
2.53600E+00,10.200
2.54000E+00,10.600
2.54400E+00,10.200
2.54800E+00,10.000
2.55200E+00,10.400
2.55600E+00,10.200
2.56000E+00,10.200
2.56400E+00,10.400
2.56800E+00,10.200
2.57200E+00,10.200
2.57600E+00,10.600
2.58000E+00,10.200
2.58400E+00,10.000
2.58800E+00,10.400
2.59200E+00,10.400
2.59600E+00,10.200
2.60000E+00,10.400
2.60400E+00,10.600
2.60800E+00,10.400
2.61200E+00,10.400
2.61600E+00,10.200
2.62000E+00,10.400
2.62400E+00,10.600
2.62800E+00,10.400
2.63200E+00,10.400
2.63600E+00,10.400
2.64000E+00,10.400
2.64400E+00,10.400
2.64800E+00,10.600
2.65200E+00,10.400
2.65600E+00,10.400
2.66000E+00,10.400
2.66400E+00,10.600
2.66800E+00,10.600
2.67200E+00,10.400
2.67600E+00,10.600
2.68000E+00,10.400
2.68400E+00,10.400
2.68800E+00,10.400
2.69200E+00,10.400
2.69600E+00,10.600
2.70000E+00,10.400
2.70400E+00,10.400
2.70800E+00,10.400
2.71200E+00,10.600
2.71600E+00,10.400
2.72000E+00,10.400
2.72400E+00,10.400
2.72800E+00,10.400
2.73200E+00,10.400
2.73600E+00,10.400
2.74000E+00,10.600
2.74400E+00,10.600
2.74800E+00,10.400
2.75200E+00,10.400
2.75600E+00,10.400
2.76000E+00,10.400
2.76400E+00,10.400
2.76800E+00,10.400
2.77200E+00,10.400
2.77600E+00,10.600
2.78000E+00,10.600
2.78400E+00,10.400
2.78800E+00,10.400
2.79200E+00,10.400
2.79600E+00,10.400
2.80000E+00,10.600
2.80400E+00,10.400
2.80800E+00,10.400
2.81200E+00,10.600
2.81600E+00,10.600
2.82000E+00,10.400
2.82400E+00,10.400
2.82800E+00,10.600
2.83200E+00,10.600
2.83600E+00,10.400
2.84000E+00,10.400
2.84400E+00,10.600
2.84800E+00,10.600
2.85200E+00,10.400
2.85600E+00,10.800
2.86000E+00,10.400
2.86400E+00,10.600
2.86800E+00,10.800
2.87200E+00,10.400
2.87600E+00,10.800
2.88000E+00,10.400
2.88400E+00,10.400
